index_1,index_2,values
2826,0,1
2826,61815,1
2826,33707,1
2826,24274,1
2826,35927,1
2826,62830,1
2826,75829,1
2826,9614,1
2826,3679,1
2826,34531,1
2826,68938,1
2826,49571,1
2826,83747,1
2826,32218,1
2826,57859,1
2826,1864,1
2826,14184,1
2826,53236,1
2350,0,1
2350,62983,1
2350,51715,1
2350,20611,1
2350,46699,1
2350,41615,1
2350,10692,1
2350,57670,1
2350,83315,1
2350,16623,1
2350,62830,1
2350,40831,1
1234,45499,1
1234,39041,1
1234,9291,1
1234,71241,1
1234,9044,1
1234,11637,1
1234,16594,1
1234,40919,1
1234,25819,1
1234,5882,1
1234,77654,1
1234,19581,1
1234,48783,1
1234,58473,1
1234,75552,1
1234,12192,1
2220,0,1
2220,61268,1
2220,57539,1
2220,64150,1
2220,68960,1
2220,74930,1
2220,79526,1
2220,40655,1
2220,84231,1
2220,61713,1
2220,68975,1
2220,30052,1
2220,695,1
2220,2641,1
2220,31607,1
2220,54518,1
2220,24090,1
2220,84093,1
2220,66114,1
2220,57505,1
2220,50076,1
2220,22174,1
2220,51963,1
2220,57507,1
2220,65712,1
2220,12007,1
2220,62830,1
2220,28575,1
2220,8842,1
2220,72053,1
2220,68542,1
2220,52227,1
2220,1053,1
2220,7459,1
1259,12605,1
1259,50737,1
1259,68705,1
1259,79526,1
1259,2262,1
1259,74772,1
1259,62830,1
1259,12192,1
2895,9594,1
2895,0,1
2895,41920,1
2895,29460,1
2895,8781,1
2895,23228,1
2895,6712,1
2895,12117,1
2895,45732,1
2895,30727,1
2895,34410,1
2895,58131,1
2895,27594,1
2895,886,1
2895,76106,1
2895,8642,1
2895,17210,1
2895,12740,1
2895,49571,1
2895,10969,1
2895,7737,1
2895,69535,1
2895,19900,1
2895,57164,1
2895,43187,1
2895,42544,1
2895,63165,1
2895,2262,1
2895,14662,1
2895,69105,1
2895,78039,1
2895,80673,1
2895,43986,1
2895,1245,1
2895,78773,1
2895,24050,1
2895,44950,1
2895,12192,1
95,0,1
95,67458,1
95,32351,1
95,62830,1
95,42074,1
95,19785,1
95,68274,1
95,73687,1
2370,0,1
2370,76106,1
2370,33425,1
2370,69105,1
2370,29290,1
2370,59438,1
2370,31076,1
2370,33186,1
2370,34410,1
2370,13451,1
1927,0,1
1927,29536,1
1927,68318,1
1927,78462,1
1927,53682,1
1927,79526,1
1927,2221,1
1927,71831,1
1927,17606,1
1927,33364,1
1927,44895,1
1927,1484,1
1927,54461,1
1927,30053,1
1927,67860,1
1927,79287,1
1927,84245,1
1927,12740,1
1927,19900,1
1927,39939,1
1927,57164,1
1927,31905,1
1927,28874,1
1927,1458,1
1927,62983,1
1927,62830,1
1927,51359,1
1927,63165,1
1927,1756,1
1927,2262,1
1927,14662,1
1927,53886,1
1927,886,1
1927,59700,1
1927,61001,1
1927,32344,1
1927,12605,1
1927,6732,1
1927,8845,1
1927,32351,1
1927,52227,1
1927,65728,1
1927,36245,1
1927,15344,1
1927,53816,1
1927,50004,1
1927,50836,1
1927,62447,1
1193,12605,1
1193,51423,1
1193,42182,1
1193,32373,1
1193,53682,1
1193,2262,1
1193,17254,1
1193,71250,1
1042,0,1
1042,68975,1
1042,12605,1
1042,7249,1
1042,37877,1
1042,12740,1
1042,49571,1
1042,12117,1
1042,63165,1
1042,63149,1
1042,36434,1
1042,12192,1
1042,58328,1
1352,42544,1
1352,27783,1
1352,78559,1
1352,63165,1
1352,64496,1
1352,2262,1
1352,45121,1
1352,60664,1
1352,1640,1
1352,30727,1
1352,24277,1
1352,12605,1
1352,64486,1
1352,75534,1
1352,16594,1
1352,78124,1
1352,28519,1
1352,34547,1
1352,29104,1
871,0,1
871,35993,1
871,29118,1
871,777,1
871,63149,1
871,12192,1
871,84499,1
2394,40917,1
2394,21695,1
2394,62660,1
2394,26265,1
2394,62830,1
2394,16594,1
2394,12192,1
1177,21695,1
1177,57046,1
1177,65173,1
1177,76582,1
1177,62830,1
1177,24697,1
2452,22174,1
2452,75745,1
2452,37459,1
2452,5412,1
2452,36288,1
2452,62830,1
2452,40812,1
228,49571,1
228,75891,1
228,63149,1
228,74772,1
228,42544,1
228,12192,1
1906,12605,1
1906,64486,1
1906,41370,1
1906,52649,1
1906,32373,1
1906,29460,1
1906,71215,1
1906,63165,1
1906,37756,1
1906,2262,1
1906,12192,1
1906,63149,1
1906,37130,1
773,70006,1
773,32351,1
773,6873,1
773,29132,1
773,71215,1
773,78128,1
773,23640,1
773,7459,1
773,67133,1
773,72980,1
773,27516,1
773,62830,1
773,75700,1
773,23641,1
2302,49571,1
2302,57405,1
2302,21695,1
2302,26189,1
2302,75534,1
2302,1484,1
1974,0,1
1974,50995,1
1974,32351,1
1974,39939,1
1974,63165,1
1974,7312,1
1974,62830,1
1974,14045,1
2518,0,1
2518,11717,1
2518,23407,1
2518,30497,1
2518,36165,1
2518,62830,1
2518,12192,1
2108,79790,1
2108,51387,1
2108,20783,1
2108,35002,1
2108,12179,1
2108,8554,1
1376,58665,1
1376,16594,1
1376,81813,1
1376,51238,1
1376,62830,1
1376,12192,1
206,29536,1
206,0,1
206,31941,1
206,84245,1
206,50995,1
206,65173,1
206,83451,1
206,57350,1
206,2990,1
206,79526,1
206,18156,1
206,45384,1
206,76185,1
206,41089,1
206,26176,1
206,33759,1
206,30053,1
206,9614,1
206,28861,1
206,68981,1
206,28782,1
206,26189,1
206,47999,1
206,50737,1
206,76212,1
206,27969,1
206,41619,1
206,35789,1
206,42617,1
206,51359,1
206,32067,1
206,73196,1
206,14996,1
206,68684,1
206,75776,1
206,35974,1
206,27741,1
206,47098,1
206,60662,1
206,27387,1
206,77244,1
206,29199,1
206,38980,1
206,27970,1
206,12605,1
206,8842,1
206,81175,1
206,27974,1
206,73462,1
206,13771,1
206,48504,1
206,43045,1
206,79007,1
206,53816,1
206,38681,1
206,27324,1
206,46135,1
2131,29536,1
2131,32499,1
2131,12605,1
2131,27176,1
2131,52227,1
2131,63165,1
2131,57135,1
2131,7737,1
2131,49535,1
2131,39939,1
199,28886,1
199,9840,1
199,18553,1
199,9855,1
199,82910,1
199,25335,1
199,27010,1
2139,0,1
2139,75271,1
2139,6625,1
2139,57750,1
2139,62830,1
2139,34443,1
317,0,1
317,41920,1
317,39121,1
317,71215,1
317,20411,1
317,79526,1
317,37756,1
317,2262,1
317,39456,1
317,69753,1
317,11717,1
317,25646,1
317,32351,1
317,7730,1
317,12740,1
317,2717,1
317,52467,1
317,58674,1
317,65411,1
317,33526,1
317,64456,1
317,55955,1
317,25335,1
3,12605,1
